Email_ID,Sender_Email,Subject,Email_Length,Num_Links,Num_Special_Chars,Capital_Words,Has_Attachment,Spam
52,user51@outlook.com,Meeting,193,5,17,38,0,1
53,user52@gmail.com,Offer,106,1,5,2,0,0
54,user53@outlook.com,Invoice,136,4,16,42,0,1
55,user54@outlook.com,Account Verification,25,1,3,2,0,0
56,user55@yahoo.com,Greetings,230,5,15,11,0,1
57,user56@gmail.com,Offer,129,0,2,0,0,0
58,user57@yahoo.com,Invoice,180,4,16,23,1,1
59,user58@outlook.com,Security Alert,101,1,3,6,0,0
60,user59@yahoo.com,Project Update,91,0,2,0,0,0
61,user60@yahoo.com,Meeting,113,1,5,3,0,0
62,user61@outlook.com,Greetings,47,0,3,5,0,0
63,user62@gmail.com,Invoice,99,0,7,4,0,0
64,user63@outlook.com,Offer,83,1,1,9,0,0
65,user64@yahoo.com,Meeting,99,0,4,1,0,0
66,user65@yahoo.com,Invoice,180,6,22,43,0,1
67,user66@gmail.com,Greetings,196,7,12,3,0,1
68,user67@gmail.com,Win Prize,75,1,6,6,0,0
69,user68@yahoo.com,Greetings,86,1,4,6,0,0
70,user69@yahoo.com,Offer,141,6,18,12,0,1
71,user70@company.com,Security Alert,173,6,15,4,1,1
72,user71@yahoo.com,Offer,155,4,21,17,1,1
73,user72@company.com,Project Update,124,2,6,4,1,0
74,user73@company.com,Greetings,194,6,13,52,1,1
75,user74@gmail.com,Security Alert,106,2,2,2,0,0
76,user75@yahoo.com,Invoice,73,0,0,0,0,0
77,user76@outlook.com,Meeting,54,1,1,7,0,0
78,user77@yahoo.com,Security Alert,92,0,3,0,0,0
79,user78@gmail.com,Invoice,62,1,4,0,0,0
80,user79@gmail.com,Security Alert,82,1,8,6,0,0
81,user80@gmail.com,Meeting,82,0,2,7,0,0
82,user81@outlook.com,Invoice,176,6,8,18,0,1
83,user82@yahoo.com,Offer,214,5,19,29,0,1
84,user83@company.com,Security Alert,203,6,11,16,0,1
85,user84@yahoo.com,Greetings,46,0,4,5,1,0
86,user85@yahoo.com,Greetings,98,1,4,4,0,0
87,user86@company.com,Security Alert,57,1,5,5,0,0
88,user87@gmail.com,Invoice,101,1,2,0,0,0
89,user88@company.com,Project Update,76,1,3,3,0,0
90,user89@company.com,Account Verification,93,1,2,0,0,0
91,user90@company.com,Meeting,156,1,13,48,0,1
92,user91@gmail.com,Meeting,237,9,15,25,0,1
93,user92@company.com,Project Update,82,2,1,6,0,0
94,user93@gmail.com,Security Alert,166,7,16,59,0,1
95,user94@yahoo.com,Security Alert,116,9,14,58,1,1
96,user95@company.com,Win Prize,112,1,6,4,0,0
97,user96@company.com,Win Prize,33,2,2,0,0,0
98,user97@outlook.com,Greetings,72,2,7,7,1,0
99,user98@yahoo.com,Invoice,87,0,1,0,1,0
100,user99@company.com,Invoice,241,6,15,16,0,1
101,user100@gmail.com,Meeting,162,5,19,4,1,1
102,user101@gmail.com,Security Alert,62,0,0,4,0,0
103,user102@yahoo.com,Account Verification,102,2,5,8,0,0
104,user103@company.com,Greetings,80,1,5,9,0,0
105,user104@yahoo.com,Account Verification,62,2,0,0,0,0
106,user105@gmail.com,Win Prize,92,1,2,6,0,0
107,user106@company.com,Meeting,210,4,13,21,1,1
108,user107@company.com,Offer,43,0,3,3,0,0
109,user108@company.com,Offer,64,1,2,1,0,0
110,user109@company.com,Greetings,175,5,17,16,1,1
111,user110@yahoo.com,Security Alert,90,3,4,0,0,0
112,user111@outlook.com,Security Alert,86,3,6,4,1,0
113,user112@gmail.com,Meeting,175,0,16,19,0,1
114,user113@outlook.com,Meeting,46,1,3,0,0,0
115,user114@gmail.com,Greetings,68,1,3,5,0,0
116,user115@yahoo.com,Meeting,20,0,1,5,0,0
117,user116@gmail.com,Win Prize,174,3,4,21,0,1
118,user117@gmail.com,Invoice,180,3,10,8,1,1
119,user118@yahoo.com,Account Verification,125,3,3,9,0,0
120,user119@gmail.com,Security Alert,88,0,3,8,1,0
121,user120@gmail.com,Invoice,93,1,6,2,0,0
122,user121@company.com,Project Update,65,0,4,4,0,0
123,user122@outlook.com,Security Alert,85,1,4,2,0,0
124,user123@outlook.com,Security Alert,106,1,4,9,0,0
125,user124@outlook.com,Account Verification,188,6,10,56,0,1
126,user125@yahoo.com,Offer,172,1,16,22,0,1
127,user126@company.com,Project Update,27,1,3,3,0,0
128,user127@gmail.com,Meeting,86,0,6,3,0,0
129,user128@company.com,Invoice,98,0,3,0,0,0
130,user129@gmail.com,Security Alert,81,1,1,8,0,0
131,user130@outlook.com,Win Prize,204,3,13,41,1,1
132,user131@outlook.com,Invoice,20,0,2,5,0,0
133,user132@yahoo.com,Project Update,78,0,4,8,0,0
134,user133@outlook.com,Win Prize,84,0,3,1,1,0
135,user134@company.com,Offer,78,3,5,8,0,0
136,user135@gmail.com,Offer,188,6,14,32,0,1
137,user136@gmail.com,Win Prize,121,1,4,9,0,0
138,user137@outlook.com,Invoice,105,1,5,4,0,0
139,user138@gmail.com,Win Prize,98,0,3,1,0,0
140,user139@outlook.com,Offer,87,1,3,1,0,0
141,user140@yahoo.com,Project Update,182,4,19,55,1,1
142,user141@yahoo.com,Offer,112,2,6,9,0,0
143,user142@company.com,Offer,84,1,6,6,0,0
144,user143@gmail.com,Invoice,86,2,1,2,0,0
145,user144@company.com,Offer,66,1,3,5,0,0
146,user145@gmail.com,Meeting,145,1,19,37,0,1
147,user146@outlook.com,Win Prize,52,0,1,1,0,0
148,user147@outlook.com,Win Prize,62,1,3,5,0,0
149,user148@company.com,Account Verification,197,5,17,15,0,1
150,user149@gmail.com,Invoice,128,1,4,2,0,0
151,user150@gmail.com,Win Prize,181,5,17,32,0,1
152,user151@gmail.com,Project Update,99,1,3,9,0,0
153,user152@yahoo.com,Account Verification,79,2,3,7,0,0
154,user153@yahoo.com,Meeting,200,4,10,13,1,1
155,user154@outlook.com,Project Update,74,3,3,8,0,0
156,user155@gmail.com,Project Update,84,1,1,3,0,0
157,user156@yahoo.com,Security Alert,49,2,1,9,0,0
158,user157@gmail.com,Project Update,94,2,2,2,0,0
159,user158@company.com,Win Prize,118,0,2,3,0,0
160,user159@yahoo.com,Win Prize,113,0,3,5,1,0
161,user160@yahoo.com,Account Verification,165,1,18,38,1,1
162,user161@gmail.com,Win Prize,20,2,1,0,0,0
163,user162@outlook.com,Account Verification,109,0,2,1,0,0
164,user163@yahoo.com,Offer,76,1,7,9,1,0
165,user164@yahoo.com,Invoice,94,1,3,2,0,0
166,user165@company.com,Meeting,192,2,18,50,0,1
167,user166@company.com,Security Alert,46,0,3,4,0,0
168,user167@yahoo.com,Greetings,155,2,15,7,1,1
169,user168@outlook.com,Offer,48,0,4,1,0,0
170,user169@yahoo.com,Security Alert,67,1,4,9,0,0
171,user170@gmail.com,Security Alert,165,5,17,31,0,1
172,user171@company.com,Project Update,147,7,7,21,1,1
173,user172@outlook.com,Invoice,189,8,16,38,0,1
174,user173@outlook.com,Project Update,,6,17,20,1,1
175,user174@company.com,Project Update,67,2,1,0,0,0
176,user175@gmail.com,Invoice,152,7,17,53,0,1
177,user176@outlook.com,Win Prize,122,0,3,6,1,0
178,user177@outlook.com,Meeting,61,1,2,7,0,0
179,user178@gmail.com,Account Verification,199,2,13,37,0,1
180,user179@outlook.com,Project Update,166,4,13,27,1,1
181,user180@company.com,Invoice,184,6,16,56,0,1
182,user181@company.com,Security Alert,194,7,20,4,1,1
183,user182@outlook.com,Meeting,75,1,2,0,0,0
184,user183@company.com,Meeting,114,0,1,8,0,0
185,user184@yahoo.com,Project Update,77,0,3,5,0,0
186,user185@company.com,Invoice,174,3,16,20,0,1
187,user186@outlook.com,Project Update,98,0,4,7,0,0
188,user187@gmail.com,Offer,172,7,13,49,1,1
189,user188@outlook.com,Account Verification,86,2,5,1,0,0
190,user189@outlook.com,Account Verification,65,3,3,7,0,0
191,user190@outlook.com,Win Prize,26,2,1,7,1,0
192,user191@yahoo.com,Account Verification,179,5,7,7,0,1
193,user192@company.com,Win Prize,67,1,1,7,0,0
194,user193@outlook.com,Account Verification,110,0,3,7,0,0
195,user194@gmail.com,Offer,49,1,3,6,0,0
196,user195@outlook.com,Security Alert,185,4,20,45,0,1
197,user196@company.com,Project Update,153,7,11,34,0,1
198,user197@company.com,Greetings,178,7,15,27,0,1
199,user198@company.com,Security Alert,65,2,6,0,0,0
200,user199@company.com,Win Prize,121,0,1,6,0,0
201,user200@gmail.com,Offer,74,1,1,8,0,0
202,user201@outlook.com,Invoice,65,4,4,7,0,0
203,user202@yahoo.com,Offer,56,1,1,7,0,0
204,user203@yahoo.com,Security Alert,172,6,13,59,1,1
205,user204@yahoo.com,Meeting,70,0,1,0,0,0
206,user205@gmail.com,Security Alert,72,1,2,3,1,0
207,user206@company.com,Invoice,150,8,17,36,0,1
208,user207@company.com,Account Verification,48,0,7,8,0,0
209,user208@yahoo.com,Account Verification,115,2,3,7,0,0
210,user209@company.com,Account Verification,173,3,13,25,1,1
211,user210@yahoo.com,Win Prize,20,1,4,0,0,0
212,user211@gmail.com,Invoice,41,0,1,4,0,0
213,user212@company.com,Security Alert,67,0,6,2,0,0
214,user213@yahoo.com,Greetings,177,6,12,27,1,1
215,user214@gmail.com,Security Alert,67,0,1,1,0,0
216,user215@gmail.com,Greetings,83,2,4,8,1,0
217,user216@yahoo.com,Greetings,52,1,5,1,0,0
218,user217@outlook.com,Greetings,215,6,21,30,0,1
219,user218@company.com,Greetings,175,6,14,43,1,1
220,user219@yahoo.com,Greetings,63,0,5,7,0,0
221,user220@company.com,Offer,76,1,0,0,0,0
222,user221@yahoo.com,Offer,190,5,27,23,0,1
223,user222@company.com,Security Alert,169,2,14,36,1,1
224,user223@outlook.com,Greetings,77,1,3,3,0,0
225,user224@gmail.com,Offer,245,6,15,20,1,1
226,user225@yahoo.com,Offer,34,0,2,1,0,0
227,user226@outlook.com,Project Update,107,1,1,0,0,0
228,user227@gmail.com,Win Prize,228,5,18,4,1,1
229,user228@yahoo.com,Security Alert,76,3,2,7,0,0
230,user229@company.com,Win Prize,50,1,5,6,1,0
231,user230@yahoo.com,Invoice,109,1,5,5,0,0
232,user231@company.com,Account Verification,174,5,17,6,0,1
233,user232@outlook.com,Greetings,110,0,0,7,0,0
234,user233@company.com,Meeting,44,3,1,3,0,0
235,user234@yahoo.com,Account Verification,60,2,3,6,1,0
236,user235@company.com,Meeting,72,1,4,6,1,0
237,user236@company.com,Greetings,73,1,5,0,0,0
238,user237@gmail.com,Project Update,195,7,12,3,0,1
239,user238@outlook.com,Account Verification,179,3,18,30,0,1
240,user239@company.com,Security Alert,135,7,22,42,0,1
241,user240@company.com,Security Alert,205,7,14,55,1,1
242,user241@outlook.com,Account Verification,63,0,2,0,0,0
243,user242@company.com,Meeting,175,6,9,34,0,1
244,user243@company.com,Project Update,36,1,4,7,0,0
245,user244@company.com,Win Prize,196,3,17,0,1,1
246,user245@company.com,Win Prize,75,0,1,9,0,0
247,user246@gmail.com,Account Verification,52,4,4,8,1,0
248,user247@gmail.com,Invoice,99,1,4,4,0,0
249,user248@company.com,Win Prize,51,1,3,4,0,0
250,user249@company.com,Win Prize,168,5,14,2,1,1
251,user250@gmail.com,Offer,164,4,15,10,1,1
252,user251@company.com,Project Update,140,0,1,9,1,0
253,user252@yahoo.com,Greetings,151,9,15,55,0,1
254,user253@outlook.com,Project Update,156,4,12,17,0,1
255,user254@company.com,Offer,137,3,3,5,0,0
256,user255@company.com,Offer,41,1,4,6,0,0
257,user256@gmail.com,Greetings,90,1,4,3,0,0
258,,Meeting,180,1,22,42,0,1
259,user258@outlook.com,Security Alert,181,5,21,54,1,1
260,user259@gmail.com,Meeting,146,3,24,13,1,1
261,user260@gmail.com,Security Alert,211,6,18,0,0,1
262,user261@yahoo.com,Meeting,132,7,13,6,1,1
263,user262@yahoo.com,Security Alert,96,2,2,8,0,0
264,user263@yahoo.com,Greetings,93,2,1,3,0,0
265,user264@gmail.com,Security Alert,156,4,10,56,0,1
266,user265@company.com,Offer,90,0,2,4,0,0
267,user266@outlook.com,Win Prize,110,1,4,5,0,0
268,user267@gmail.com,Win Prize,100,2,3,1,0,0
269,user268@outlook.com,Invoice,96,0,3,8,0,0
270,user269@gmail.com,Offer,142,3,19,57,1,1
271,user270@company.com,Account Verification,200,7,23,2,0,1
272,user271@yahoo.com,Invoice,64,1,0,3,0,0
273,user272@yahoo.com,Invoice,206,5,14,15,1,1
274,user273@outlook.com,Invoice,89,2,2,3,0,0
275,user274@gmail.com,Project Update,80,0,5,7,0,0
276,user275@company.com,Project Update,113,0,3,8,1,0
277,user276@gmail.com,Project Update,61,0,2,6,1,0
278,user277@gmail.com,Account Verification,48,2,2,7,0,0
279,user278@company.com,Invoice,46,1,4,6,0,0
280,user279@company.com,Project Update,81,1,4,5,0,0
281,user280@company.com,Win Prize,69,0,5,5,0,0
282,user281@company.com,Win Prize,126,3,4,5,0,0
283,user282@outlook.com,Greetings,83,1,5,5,1,0
284,user283@company.com,Account Verification,67,0,1,4,1,0
285,user284@outlook.com,Project Update,69,1,4,7,0,0
286,user285@yahoo.com,Invoice,139,2,13,42,0,1
287,user286@outlook.com,Greetings,122,2,7,0,0,0
288,user287@yahoo.com,Greetings,172,5,20,58,0,1
289,user288@company.com,Project Update,100,1,2,1,0,0
290,user289@gmail.com,Greetings,154,5,11,2,0,1
291,user290@outlook.com,Win Prize,62,0,1,4,0,0
292,user291@company.com,Security Alert,167,3,22,41,0,1
293,user292@outlook.com,Offer,106,1,5,0,0,0
294,user293@outlook.com,Offer,168,6,14,21,0,1
295,user294@outlook.com,Meeting,119,1,5,5,0,0
296,user295@yahoo.com,Invoice,64,0,3,3,0,0
297,user296@yahoo.com,Account Verification,57,0,3,8,0,0
298,user297@company.com,Security Alert,67,2,2,5,0,0
299,user298@company.com,Greetings,83,2,3,2,0,0
300,user299@company.com,Meeting,87,1,2,4,0,0
301,user300@gmail.com,Offer,188,5,12,28,0,1
302,user301@yahoo.com,Account Verification,194,6,14,35,1,1
303,user302@yahoo.com,Offer,79,2,1,2,0,0
304,user303@outlook.com,Greetings,88,1,5,1,0,0
305,user304@outlook.com,Account Verification,86,0,6,4,0,0
306,user305@outlook.com,Project Update,217,4,12,20,1,1
307,user306@company.com,Offer,226,4,13,58,1,1
308,user307@outlook.com,Offer,207,6,24,37,0,1
309,user308@yahoo.com,Invoice,59,2,3,4,1,0
310,user309@yahoo.com,Project Update,198,4,14,21,0,1
311,user310@gmail.com,Win Prize,188,4,13,39,1,1
312,user311@yahoo.com,Security Alert,40,4,-1,2,0,0
313,user312@company.com,Offer,84,2,0,4,0,0
314,user313@outlook.com,Invoice,78,2,0,9,0,0
315,user314@yahoo.com,Offer,86,3,3,7,0,0
316,user315@yahoo.com,Project Update,106,2,5,1,0,0
317,user316@yahoo.com,Offer,167,6,11,49,1,1
318,user317@gmail.com,Win Prize,183,1,18,42,0,1
319,user318@outlook.com,Meeting,94,3,2,7,0,0
320,user319@gmail.com,Offer,86,1,3,6,0,0
321,user320@yahoo.com,Greetings,154,4,17,56,0,1
322,user321@gmail.com,Meeting,217,2,8,49,0,1
323,user322@outlook.com,Greetings,63,1,3,7,0,0
324,user323@company.com,Greetings,79,1,2,6,0,0
325,user324@outlook.com,Win Prize,101,0,3,6,0,0
326,user325@gmail.com,Offer,117,0,1,7,0,0
327,user326@company.com,Invoice,95,2,0,6,1,0
328,user327@gmail.com,Account Verification,129,6,19,34,1,1
329,user328@company.com,Invoice,62,3,7,5,0,0
330,user329@gmail.com,Win Prize,222,7,13,31,1,1
331,user330@yahoo.com,Offer,82,2,2,9,0,0
332,user331@gmail.com,Security Alert,58,2,1,0,0,0
333,user332@gmail.com,Account Verification,62,2,2,6,0,0
334,user333@yahoo.com,Account Verification,173,11,17,14,1,1
335,user334@company.com,Greetings,63,0,3,2,0,0
336,user335@outlook.com,Account Verification,80,0,5,7,0,0
337,user336@outlook.com,Meeting,127,0,5,2,0,0
338,user337@gmail.com,Security Alert,201,2,22,16,1,1
339,user338@yahoo.com,Offer,101,1,3,9,0,0
340,user339@gmail.com,Win Prize,142,4,14,17,1,1
341,user340@yahoo.com,Win Prize,45,0,2,6,1,0
342,user341@gmail.com,Win Prize,74,1,8,2,0,0
343,user342@gmail.com,Account Verification,37,3,2,2,0,0
344,user343@company.com,Greetings,41,1,4,3,0,0
345,user344@outlook.com,Meeting,34,0,0,6,0,0
346,user345@yahoo.com,Offer,214,6,9,54,0,1
347,user346@outlook.com,Greetings,,3,6,9,0,0
348,user347@gmail.com,Security Alert,91,1,1,8,0,0
349,user348@outlook.com,Security Alert,93,0,5,7,0,0
350,user349@company.com,Invoice,46,1,4,7,1,0
351,user350@yahoo.com,Win Prize,160,6,15,5,1,1
352,user351@outlook.com,Win Prize,24,0,3,2,0,0
353,user352@gmail.com,Meeting,105,0,2,7,0,0
354,user353@yahoo.com,Offer,113,0,1,5,0,0
355,user354@outlook.com,Greetings,75,0,2,9,0,0
356,user355@gmail.com,Greetings,163,9,16,9,0,1
357,user356@outlook.com,Account Verification,67,2,0,7,1,0
358,user357@outlook.com,Greetings,113,1,4,3,0,0
359,user358@company.com,Invoice,211,6,14,21,1,1
360,user359@gmail.com,Account Verification,85,1,3,8,0,0
361,user360@outlook.com,Offer,75,2,2,9,1,0
362,user361@gmail.com,Invoice,103,1,0,2,0,0
363,user362@yahoo.com,Meeting,70,2,1,0,0,0
364,user363@outlook.com,Meeting,167,7,15,7,1,1
365,user364@yahoo.com,Greetings,64,1,2,4,0,0
366,user365@company.com,Offer,81,0,1,4,0,0
367,user366@yahoo.com,Account Verification,20,0,2,9,0,0
368,user367@company.com,Invoice,70,2,2,1,0,0
369,user368@company.com,Project Update,119,0,4,6,0,0
370,user369@company.com,Project Update,58,2,2,6,0,0
371,user370@outlook.com,Invoice,50,0,6,2,1,0
372,user371@yahoo.com,Project Update,202,6,14,10,0,1
373,user372@company.com,Greetings,196,3,20,41,1,1
374,user373@outlook.com,Account Verification,161,1,10,9,1,1
375,user374@gmail.com,Greetings,114,0,1,5,0,0
376,user375@gmail.com,Project Update,197,4,10,9,0,1
377,user376@outlook.com,Project Update,81,1,2,1,0,0
378,user377@gmail.com,Account Verification,173,4,16,57,0,1
379,user378@gmail.com,Greetings,55,1,6,4,0,0
380,user379@company.com,Meeting,105,1,4,0,1,0
381,user380@yahoo.com,Project Update,160,4,18,18,0,1
382,user381@company.com,Greetings,87,4,4,7,0,0
383,user382@gmail.com,Security Alert,79,3,3,3,0,0
384,user383@outlook.com,Win Prize,86,0,2,3,0,0
385,user384@outlook.com,Greetings,179,3,12,52,1,1
386,user385@company.com,Invoice,107,0,3,8,0,0
387,user386@gmail.com,Security Alert,84,1,2,2,0,0
388,user387@yahoo.com,Offer,57,0,6,3,0,0
389,user388@gmail.com,Account Verification,129,2,17,53,1,1
390,user389@gmail.com,Security Alert,200,6,13,28,0,1
391,user390@gmail.com,Greetings,91,2,1,7,1,0
392,user391@gmail.com,Win Prize,55,2,4,0,0,0
393,user392@company.com,Offer,116,1,1,1,0,0
394,user393@outlook.com,Account Verification,125,1,0,1,1,0
395,user394@company.com,Greetings,107,1,4,3,0,0
396,user395@yahoo.com,Greetings,65,0,2,5,0,0
397,user396@yahoo.com,Account Verification,92,0,4,5,0,0
398,user397@yahoo.com,Win Prize,194,3,21,11,1,1
399,user398@gmail.com,Offer,65,0,3,2,0,0
400,user399@company.com,Project Update,101,3,2,1,0,0
401,user400@outlook.com,Meeting,91,2,4,8,0,0
402,user401@outlook.com,Offer,207,7,10,28,0,1
403,user402@company.com,Win Prize,87,1,3,7,0,0
404,user403@company.com,Greetings,20,3,1,8,1,0
405,user404@outlook.com,Project Update,30,1,6,6,1,0
406,user405@company.com,Greetings,65,1,2,8,0,0
407,user406@outlook.com,Security Alert,68,2,1,9,0,0
408,user407@yahoo.com,Account Verification,216,3,11,1,0,1
409,user408@yahoo.com,Account Verification,107,1,6,0,0,0
410,user409@gmail.com,Project Update,163,7,20,25,1,1
411,user410@company.com,Account Verification,129,1,1,2,0,0
412,user411@company.com,Win Prize,68,0,6,6,0,0
413,user412@company.com,Meeting,148,4,19,6,1,1
414,user413@yahoo.com,Project Update,61,0,6,4,1,0
415,user414@gmail.com,Greetings,56,0,3,1,1,0
416,user415@gmail.com,Greetings,94,1,5,0,1,0
417,user416@gmail.com,Win Prize,85,1,4,7,0,0
418,user417@company.com,Win Prize,102,1,2,6,0,0
419,user418@gmail.com,Greetings,195,1,16,39,1,1
420,user419@outlook.com,Project Update,221,99,20,19,1,1
421,user420@company.com,Invoice,159,3,10,36,0,1
422,user421@outlook.com,Account Verification,196,6,13,54,0,1
423,user422@outlook.com,Greetings,69,0,5,5,0,0
424,user423@gmail.com,Invoice,76,1,7,2,1,0
425,user424@yahoo.com,Offer,67,1,4,6,1,0
426,user425@yahoo.com,Invoice,175,7,10,2,0,1
427,user426@company.com,Invoice,59,1,7,5,0,0
428,user427@gmail.com,Greetings,177,2,15,43,0,1
429,user428@yahoo.com,Offer,207,9,10,51,0,1
430,user429@gmail.com,Meeting,115,1,4,8,0,0
431,user430@outlook.com,Meeting,177,3,11,54,0,1
432,user431@outlook.com,Project Update,83,0,2,8,0,0
433,user432@outlook.com,Account Verification,114,0,4,1,1,0
434,user433@yahoo.com,Security Alert,70,1,2,2,0,0
435,user434@company.com,Win Prize,44,0,4,0,0,0
436,user435@yahoo.com,Win Prize,169,4,16,40,1,1
437,user436@gmail.com,Account Verification,173,4,18,41,1,1
438,user437@yahoo.com,Greetings,170,3,19,6,1,1
439,user438@yahoo.com,Security Alert,85,1,2,9,0,0
440,user439@company.com,Offer,180,2,13,23,0,1
441,user440@company.com,Offer,63,0,6,1,0,0
442,user441@gmail.com,Greetings,77,0,2,7,0,0
443,user442@outlook.com,Win Prize,122,0,2,0,1,0
444,user443@gmail.com,Greetings,75,0,8,1,0,0
445,user444@outlook.com,Offer,116,2,1,1,0,0
446,user445@company.com,Offer,80,1,5,4,0,0
447,user446@company.com,Offer,212,3,21,17,1,1
448,user447@yahoo.com,Account Verification,165,10,16,26,1,1
449,user448@company.com,Invoice,24,1,2,9,0,0
450,user449@yahoo.com,Account Verification,22,1,1,7,0,0
451,user450@outlook.com,Offer,94,1,2,1,1,0
452,user451@outlook.com,Meeting,69,2,3,4,0,0
453,user452@company.com,Offer,80,1,1,4,1,0
454,user453@gmail.com,Meeting,75,1,3,0,1,0
455,user454@company.com,Offer,97,0,6,7,1,0
456,user455@yahoo.com,Project Update,94,0,4,3,0,0
457,user456@yahoo.com,Security Alert,144,7,15,43,0,1
458,user457@outlook.com,Win Prize,85,2,1,9,1,0
459,user458@gmail.com,Meeting,104,1,6,5,0,0
460,user459@outlook.com,Greetings,91,0,3,2,0,0
461,user460@gmail.com,Project Update,182,5,17,16,0,1
462,user461@yahoo.com,Invoice,176,7,9,9,1,1
463,user462@outlook.com,Project Update,87,1,2,3,0,0
464,user463@company.com,Win Prize,32,0,2,8,0,0
465,user464@yahoo.com,Win Prize,28,1,2,5,0,0
466,user465@outlook.com,Offer,188,3,12,37,0,1
467,user466@yahoo.com,Offer,94,0,3,7,0,0
468,user467@company.com,Offer,74,0,5,9,0,0
469,user468@outlook.com,Invoice,55,0,1,6,0,0
470,user469@company.com,Invoice,184,2,14,53,1,1
471,user470@yahoo.com,Security Alert,102,0,5,8,0,0
472,user471@company.com,Project Update,86,1,4,7,0,0
473,user472@gmail.com,Account Verification,53,1,6,6,1,0
474,user473@gmail.com,Offer,62,0,7,1,1,0
475,user474@gmail.com,Greetings,55,0,2,3,0,0
476,user475@outlook.com,Offer,121,0,2,6,0,0
477,user476@company.com,Project Update,95,1,0,8,0,0
478,user477@gmail.com,Security Alert,62,0,0,8,0,0
479,user478@company.com,Meeting,208,7,13,7,1,1
480,user479@outlook.com,Security Alert,170,2,14,9,0,1
481,user480@gmail.com,Greetings,213,7,13,3,0,1
482,user481@outlook.com,Account Verification,102,0,3,0,0,0
483,user482@gmail.com,Win Prize,64,2,4,6,0,0
484,user483@gmail.com,Meeting,176,5,20,25,0,1
485,user484@outlook.com,Greetings,176,6,8,55,1,1
486,user485@gmail.com,Invoice,207,2,19,20,0,1
487,user486@yahoo.com,Win Prize,69,0,1,3,1,0
488,user487@company.com,Greetings,99,0,1,1,0,0
489,user488@outlook.com,Account Verification,146,5,18,20,1,1
490,user489@yahoo.com,Account Verification,78,0,0,3,0,0
491,user490@gmail.com,Greetings,76,1,7,3,0,0
492,user491@company.com,Offer,203,8,14,44,0,1
493,user492@gmail.com,Project Update,65,0,5,1,1,0
494,user493@yahoo.com,Greetings,73,1,2,1,0,0
495,user494@company.com,Security Alert,88,1,4,8,0,0
496,user495@outlook.com,Invoice,34,0,2,7,1,0
497,user496@outlook.com,Project Update,84,1,3,6,0,0
